"","target_names","target_groups","targets","current_lower_bounds","current_upper_bounds","stopping_lower_bounds","stopping_upper_bounds","scales"
"1","prevalence","All",0.356214248569943,0.231539261570463,0.480889235569423,0.320592823712949,0.391835673426937,0.0118738082856648
"2","meanMOIvar","All",4.51908355698637,2.93740431204114,6.1007628019316,4.06717520128773,4.97099191268501,0.150636118566212
"3","meanPTS","All",0.0687096983285168,0.0446613039135359,0.0927580927434977,0.0618387284956652,0.0755806681613685,0.00229032327761723
"4","meanPTSGroupA","A",0.184922045275061,0.110953227165036,0.258890863385085,0.147937636220048,0.221906454330073,0.0123281363516707
"5","meanPTSGroupBC","BC",0.0424770458907561,0.0276100798289915,0.0573440119525208,0.0382293413016805,0.0467247504798317,0.00141590152969187
"6","numGenes","All",18842,12247.3,25436.7,16957.8,20726.2,628.066666666667
"7","numGenesGroupA","A",548,356.2,739.8,493.2,602.8,18.2666666666667
"8","numGenesGroupBC","BC",18294,11891.1,24696.9,16464.6,20123.4,609.8
"9","ShannonDiversity","All",8.94820805599696,8.05338725039726,9.84302886159666,8.50079765319711,9.39561845879681,0.149136800933283
"10","ShannonDiversityA","A",5.63392880474433,5.07053592426989,6.19732168521876,5.35223236450711,5.91562524498154,0.0938988134124055
"11","ShannonDiversityBC","BC",9.08776063847342,8.17898457462608,9.99653670232076,8.63337260654975,9.54214867039709,0.15146267730789
"12","inverseSimpsonIndex","All",2654.12528181002,2388.71275362902,2919.53780999102,2521.41901771952,2786.83154590052,44.2354213635003
"13","inverseSimpsonIndexA","A",172.724387294498,155.451948565048,189.996826023948,164.088167929773,181.360606659223,2.87873978824163
"14","inverseSimpsonIndexBC","BC",3396.51525137627,3056.86372623864,3736.16677651389,3226.68948880745,3566.34101394508,56.6085875229378
