"","target_names","target_groups","targets","current_lower_bounds","current_upper_bounds","stopping_lower_bounds","stopping_upper_bounds","scales"
"1","prevalence","All",0.356214248569943,0.231539261570463,0.480889235569423,0.320592823712949,0.391835673426937,0.0118738082856648
"2","meanMOIvar","All",4.51908355698637,2.93740431204114,6.1007628019316,4.06717520128773,4.97099191268501,0.150636118566212
"3","meanPTS","All",0.092752529533472,0.0602891441967568,0.125215914870187,0.0834772765801248,0.102027782486819,0.00309175098444907
"4","meanPTSGroupA","A",0.241903082861912,0.145141849717147,0.338664316006677,0.193522466289529,0.290283699434294,0.0161268721907941
"5","meanPTSGroupBC","BC",0.0651366156142751,0.0423388001492788,0.0879344310792713,0.0586229540528476,0.0716502771757026,0.00217122052047584
"6","numGenes","All",8708,5660.2,11755.8,7837.2,9578.8,290.266666666667
"7","numGenesGroupA","A",205,133.25,276.75,184.5,225.5,6.83333333333334
"8","numGenesGroupBC","BC",8503,5526.95,11479.05,7652.7,9353.3,283.433333333334
"9","ShannonDiversity","All",8.30287975324114,7.47259177791703,9.13316772856526,7.88773576557908,8.7180237409032,0.138381329220686
"10","ShannonDiversityA","A",4.85556706025985,4.37001035423387,5.34112376628584,4.61278870724686,5.09834541327285,0.0809261176709975
"11","ShannonDiversityBC","BC",8.39296691929095,7.55367022736185,9.23226361122004,7.9733185733264,8.8126152652555,0.139882781988183
"12","inverseSimpsonIndex","All",1799.31274321985,1619.38146889787,1979.24401754184,1709.34710605886,1889.27838038084,29.9885457203309
"13","inverseSimpsonIndexA","A",93.6155311898146,84.2539780708331,102.977084308796,88.9347546303238,98.2963077493053,1.56025885316358
"14","inverseSimpsonIndexBC","BC",2133.65126016032,1920.28613414429,2347.01638617635,2026.9686971523,2240.33382316834,35.5608543360054
