"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.162,3.13592781155535,0.0668462279479714,0.0623226062059062,1695.14790935811,1483.94687567624,1
0.4605,12.7406553158034,0.0176060915766835,0.0101776532793654,27156.7284417469,36430.4249611909,2
0.444,5.63903418874643,0.0434496578215473,0.0390472737875078,4920.98672299109,4392.50543430649,3
0.407,6.1801454133629,0.0701120433450259,0.0375577525642817,2631.59066453543,5051.03663653133,4
0.386,4.20533796604453,0.0430060422552653,0.0358534353092755,3710.91640183125,3560.75962939166,5
0.464,9.26328311484613,0.0113620230226557,0.00926109460765652,29705.4416780758,28599.4633818311,6
0.4595,14.5393066029385,0.0716841565590538,0.0545688738447468,7474.63348719909,8211.61219229577,7
0.2815,3.3253192679376,0.0417229166233978,0.0389848802665669,2899.99073182553,2475.29127303804,8
0.3585,6.62400374989662,0.0354134376366792,0.0308319497573779,7121.03051220366,6529.27787450361,9
0.3375,4.04507441203636,0.0159773352441824,0.0147063393230791,9205.45049887305,7977.47767339653,10
0.372,3.86638126214315,0.0175763929594722,0.0155323466691644,8036.0019636402,7239.10427925373,11
0.329,3.84244277904352,0.101532954413775,0.0807973440259374,1310.48939271062,1430.08669165457,12
0.2245,3.82575903722617,0.0672314401853147,0.0617621338564294,2087.40072201225,1836.68653844082,13
0.1295,3.60276294294821,0.0359544635969564,0.030799873732539,3466.76749258907,3213.89245257819,14
0.3865,3.29263393739124,0.0588098416379132,0.0519298058227693,2053.72034051689,1852.64310956566,15
0.117,2.83877510846982,0.0894246166386573,0.0843303027231068,1169.28840350062,988.248831155279,16
0.1415,3.12985622775035,0.0580402158860285,0.0459093924024635,1940.31206090805,1962.67339385046,17
0.3725,5.49424176389003,0.0473764156686181,0.0382302961736259,4318.20154137194,4325.42969765971,18
0.4195,6.18209387081494,0.0581436417158617,0.045123553929635,3957.59770192757,4223.13791067174,19
0.2905,1.83351809350184,0.0195054115669871,0.00956167136468413,3295.44581500251,4932.31000215152,20
