"instance","prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC"
1,0.1405,2.61862466378746,0.0210337744858014,0.0183373210290767,4116.97095591859,3669.79436892837
2,0.2735,5.4270826486251,0.00759697809518739,0.00440084118168648,22845.8225446672,27554.8793413124
3,0.227,3.32312175255859,0.0130830526825338,0.0114281942628976,8406.16804278177,7525.04553338029
4,0.13,7.52743831965294,0.087684935823322,0.0526224465869651,2649.52910162998,4200.83803861891
5,0.3,3.03403843352414,0.0123551434452353,0.00671998852606331,8395.38770581529,11265.1549589002
6,0.421,4.78528736403389,0.00591296051741931,0.00476781263340055,26657.2026456353,25251.3653332224
7,0.3765,5.8541133497387,0.0279067848488151,0.0237057558216007,7756.30772290519,7222.41597409758
8,0.2265,2.77339852673467,0.012172933126709,0.0106078076918933,7427.01149831798,6638.23834417504
9,0.2185,4.73392131424649,0.00945464892813928,0.00504695402558528,15931.0996598327,20269.2672291608
10,0.258,2.92209050152954,0.00693381801488013,0.00579134427028088,12822.8967941182,11674.6233538039
11,0.2935,2.82147594796309,0.00765168196241278,0.0062332287362846,11747.2332630114,11063.3264899443
12,0.2425,3.25483633751898,0.0864948178680328,0.0712086924689306,1376.36323551815,1373.50816896006
13,0.22,3.46285680430557,0.0329582921690696,0.0300404369521124,3777.78762482969,3285.54309394294
14,0.133,2.98447464583557,0.0154598112044103,0.010199084918298,6127.73307364961,6767.53967016258
15,0.243,2.52445896112824,0.0245543577485313,0.0179734806035878,3692.25918442923,3927.48057036363
16,0.105,2.24982456064998,0.0311131303389207,0.0289047900864116,2404.33287443424,2068.78345293373
17,0.114,3.00431675073685,0.0364217869195058,0.0256684178149308,2788.91907351522,3100.9335990502
18,0.359,3.64940702356014,0.0128393135762389,0.00721764775407247,10141.5446084735,13367.4761790691
19,0.3125,4.23640210846368,0.0151327898987699,0.00783668862032672,9992.05170878527,14188.5533507232
20,0.2345,1.58291529929698,0.0172342775966898,0.00854415558919522,3127.93009049023,4532.81707409179
21,0.329,3.80050782145345,0.00725658258121341,0.00598395967527654,17128.8704111006,15977.1980485538
22,0.1235,3.18397776557969,0.0422652503674455,0.0387934150803986,2635.29689995706,2289.42773661205
23,0.1575,4.07147459958592,0.0100061307266031,0.00800290189799564,12057.8510380373,11278.1109224282
24,0.291,4.5158952149389,0.0135050408598574,0.00584748578772761,11706.5038294943,18625.073994224
25,0.315,4.47887952476623,0.00854888642228873,0.00434245094460109,17448.2150850487,23585.904988023
26,0.2535,3.3784615482046,0.0163333125108171,0.00809390806417564,7131.39862179261,10318.1151019391
27,0.155,3.70986991822975,0.0168884530725076,0.0121862498530408,7128.64828066515,7374.43431271532
28,0.2165,2.59283660757059,0.0101730182016602,0.00680659582878292,8175.89175582373,8845.62285409158
29,0.1685,2.62417507022556,0.0221283960977907,0.0181512677004737,4019.19257317506,3807.96140432059
30,0.1945,2.2899354078681,0.0397735113280665,0.0330698456409278,2065.87083763249,1966.22505734757
31,0.249,2.10437723709733,0.0204232955044315,0.0177167077690371,3659.28917665535,3326.5115941536
32,0.2705,6.63504563891405,0.0266427695876629,0.0216409850779278,9195.05259078977,9045.62517328065
33,0.1985,3.1706258656743,0.0630751087486432,0.0575200189514232,1862.84194903632,1637.47809631408
34,0.3235,3.57909408973012,0.00511077353314422,0.00361857448083321,21040.3962859894,21605.5325302275
35,0.2455,2.37542782773962,0.0135411090606614,0.0102197597840198,5916.27610430387,6012.06792302568
