"prevalence","meanMOIvar","meanPTS","inverseSimpsonIndex","instance"
0.162,3.13592781155535,0.0668462279479714,1695.14790935811,1
0.4605,12.7406553158034,0.0176060915766835,27156.7284417469,2
0.444,5.63903418874643,0.0434496578215473,4920.98672299109,3
0.407,6.1801454133629,0.0701120433450259,2631.59066453543,4
0.386,4.20533796604453,0.0430060422552653,3710.91640183125,5
0.464,9.26328311484613,0.0113620230226557,29705.4416780758,6
0.4595,14.5393066029385,0.0716841565590538,7474.63348719909,7
0.2815,3.3253192679376,0.0417229166233978,2899.99073182553,8
0.3585,6.62400374989662,0.0354134376366792,7121.03051220366,9
0.3375,4.04507441203636,0.0159773352441824,9205.45049887305,10
0.372,3.86638126214315,0.0175763929594722,8036.0019636402,11
0.329,3.84244277904352,0.101532954413775,1310.48939271062,12
0.2245,3.82575903722617,0.0672314401853147,2087.40072201225,13
0.1295,3.60276294294821,0.0359544635969564,3466.76749258907,14
0.3865,3.29263393739124,0.0588098416379132,2053.72034051689,15
0.117,2.83877510846982,0.0894246166386573,1169.28840350062,16
0.1415,3.12985622775035,0.0580402158860285,1940.31206090805,17
0.3725,5.49424176389003,0.0473764156686181,4318.20154137194,18
0.4195,6.18209387081494,0.0581436417158617,3957.59770192757,19
0.2905,1.83351809350184,0.0195054115669871,3295.44581500251,20
0.4465,5.93306061654323,0.0343778533174727,6541.02774028563,21
0.1405,2.98792580910437,0.059296247229842,1779.37985674511,22
0.264,5.17877656317671,0.0397940415686994,4886.28863579732,23
0.3765,4.84207721634009,0.0194147308482398,9082.10018140998,24
0.4385,9.50423437103206,0.034476680459687,10433.9778764621,25
0.347,3.94402496899883,0.0272318394074063,5317.01924078073,26
0.3,4.16352239592381,0.0575808075955611,2621.02161902114,27
0.294,3.56523570799378,0.0402141685981865,3265.38372234905,28
0.2075,3.00490657508849,0.0485177558506722,2215.69614981685,29
0.2625,2.60387377289115,0.0569260245720844,1680.42986767486,30
0.3115,2.53379488722466,0.0728089123618111,1265.95921175468,31
0.46,12.9228926895129,0.0470201819190893,10235.3481907474,32
0.3365,5.11126394483037,0.113134943856108,1526.51866443909,33
0.476,8.94841372168015,0.013880217238619,23809.1196756545,34
0.3665,2.70241373994835,0.0173536444921336,5540.49647351164,35
0.372,3.78421162046592,0.0268704565301937,5138.54939475423,36
0.269,3.77698731511727,0.0415766067958907,3340.65513251186,37
0.3645,4.78481905119722,0.0822762595238752,1971.98889356297,38
0.359,5.52469838910291,0.0284264861028066,7375.31566182663,39
0.3115,4.04149601277977,0.0687283781562952,2149.61442873896,40
0.303,4.50638030431029,0.0192401946775379,8698.45004107743,41
0.1855,3.2608515552055,0.094873511767872,1246.81222297591,42
0.4395,7.45557826761993,0.0607354223079532,4383.89508795926,43
0.4375,7.41736400347134,0.0339898530414379,8249.59814522885,44
0.3905,5.87505224715165,0.09399131211889,1582.50581601079,45
0.4195,3.67768250957771,0.0145172766516419,9166.58679381873,46
0.4565,6.38170180113773,0.0250449864644344,9282.46295781617,47
0.311,3.13603363819039,0.0137059779440824,7916.71988465461,48
0.429,4.44989571441097,0.0141192143408298,11525.4817830279,49
0.3615,4.89946469660403,0.0143081970135504,12202.2394126994,50
0.363,5.108003484028,0.0223565668343653,8462.15814301706,51
0.4165,3.80709552181032,0.00860103242184906,15154.4976999005,52
0.4065,3.37173459114117,0.00918178045662462,12527.7787842203,53
0.1965,2.93025980695815,0.0840016806969483,1240.29796720489,54
0.2815,3.79816922961947,0.102322097300809,1296.93774430999,55
0.332,3.87220662720066,0.0327276450129276,4369.41818607311,56
0.4325,8.44810456042821,0.0363780354364879,8887.93740741746,57
0.4435,7.77331363757524,0.0958094381490755,2766.67118236275,58
0.1885,3.43724425037417,0.024573348619333,4933.71825247657,59
0.3935,4.0074091920316,0.00874322279287953,15604.3485343705,60
0.4305,3.86583003877774,0.0176899706597448,7981.03517664424,61
0.4615,11.1120330145361,0.0338924035636371,12520.4987297288,62
0.449,5.84829818855602,0.0177521469448358,12255.8992761396,63
0.4295,4.31367653028915,0.0131222388450562,11837.974931683,64
0.2945,4.15904586905909,0.0140330130675318,10556.8008119798,65
0.4405,3.56203887471946,0.00887509972597682,13861.6004063223,66
0.4405,6.42166561219109,0.0304148104274379,7740.40076318051,67
0.4505,10.9292976347195,0.0960415247210799,3354.30422550826,68
0.3375,6.26266950715345,0.0314645916569753,7474.50369736112,69
0.403,5.52483743083774,0.026980825482897,7640.19122575091,70
0.3525,3.76588402820413,0.0410593112106516,3390.2318874058,71
0.4005,5.69479826659219,0.0602404735903189,3345.02223078453,72
0.4725,6.4735691375886,0.0264658116025571,8980.295224087,73
0.447,5.67999324527845,0.0135591145871715,15220.0754144601,74
0.348,4.54521946286764,0.0245104995090028,6775.02990669697,75
0.1455,2.71972542724666,0.126453976479022,721.189945348733,76
0.3035,5.45270245051395,0.0430750101609893,4571.02308842353,77
0.4485,8.85730765598056,0.0124096852851535,26166.0360838561,78
0.415,5.18430752163112,0.0441105298061449,4432.32593640003,79
0.283,3.16618828140635,0.0221570514843067,5196.60139024142,80
0.3455,4.30926004191212,0.0357209653267115,4469.63995210711,81
0.3875,5.3601774927237,0.0157100557654186,12303.9824223193,82
0.329,3.11861437167008,0.0558571043342548,2058.87234844801,83
0.3425,4.62530065441178,0.0212990191836201,8012.81254609955,84
0.33,3.48475372749112,0.0662390846288781,1960.46476758148,85
0.467,8.66792065179291,0.0135067808386392,23583.0936928263,86
0.3155,2.28596465918382,0.0201760248039279,4062.57373922079,87
0.3905,5.81910838718931,0.0274398527242046,7749.02854361592,88
0.384,4.56414559743211,0.0678820470765447,2517.44534569718,89
0.342,5.08545238652932,0.0532212731797337,3615.43449701097,90
0.3435,3.29083888968468,0.0121128581308616,9481.63236889972,91
0.168,2.93169896814189,0.0261498543974405,3829.59917028637,92
0.324,4.95099771830675,0.0089079688766231,18515.5271918376,93
0.4375,4.91363488429249,0.00876621668150882,19691.7592906735,94
0.395,4.4515908800815,0.0510072452976139,3101.81340558612,95
0.157,1.47247582376123,0.0220127137980601,2255.00389273645,96
0.2755,1.72039940663798,0.0276813433069719,2230.13105862035,97
0.4555,11.1353558017815,0.0703008682376779,5794.76791632223,98
0.2915,4.92239399664775,0.0266746831333239,6539.11249340731,99
0.14,2.56030783546859,0.143757952594009,642.460685001338,100
0.373,5.6806339536234,0.03017515187368,7061.02713580989,101
0.308,4.26016623287927,0.123344794175573,1006.04344966238,102
0.405,3.08027200095021,0.0179272620204219,6204.71505885593,103
0.35,3.73255261114188,0.0660203180967649,2053.9361373884,104
0.4325,4.65032725044688,0.0146695063542382,11547.9620887991,105
0.363,4.73950984367551,0.0183727116230132,9351.45064390672,106
0.3925,6.80961066298557,0.0361258995228803,7129.90223238808,107
0.24,2.98418917231401,0.0456819098909098,2324.15059356701,108
0.2295,4.66123731786227,0.0793030306677279,2036.30185267428,109
0.3135,4.53611041066537,0.0139737360446352,11604.652863194,110
0.1605,3.44008264498355,0.0312131322095093,3914.69717269835,111
0.225,4.82664154107521,0.0745260076217513,2211.0274287904,112
0.299,4.1835789443655,0.0568696143555868,2623.94263536192,113
0.3255,5.88218394506572,0.0509500328761763,4336.44204836168,114
0.25,4.45231107864491,0.0685536775952315,2308.55894764551,115
0.365,4.57312056592931,0.0101015676149591,15623.8647485946,116
0.279,5.33875935125693,0.0381334638710909,5182.43356308921,117
0.459,5.64551003243468,0.0129588092982957,15838.6336351429,118
0.297,3.80326502640375,0.0341728572953516,4138.72973545449,119
0.455,4.81250663358128,0.0153783892254645,11459.1151777178,120
0.3835,3.75613545379513,0.0155797029620805,8633.99731556067,121
0.4535,9.05031396190007,0.0153821097564002,21751.0336750786,122
0.1975,3.33301889107043,0.0360664346690939,3276.76269694366,123
0.3935,5.51549911783374,0.016123989260234,12537.8907136788,124
0.36,2.9636567448154,0.00902881971128697,10957.118007089,125
0.195,4.15225607004713,0.0408981073960224,3683.05259333925,126
0.3505,5.015380686494,0.0319304101040683,5875.56305256075,127
0.2085,2.24217464635435,0.0663773677623805,1217.146695561,128
0.128,2.41566174313493,0.134548858379571,611.994759691264,129
0.4555,8.3299658647204,0.0862056774024446,3577.25133732911,130
0.355,4.93547929974321,0.0390075950887294,4723.51418166644,131
0.178,3.94649470816932,0.0725495742684463,1945.55421246045,132
0.2355,3.64838728089123,0.102718833421852,1195.11899378507,133
0.3475,4.267046059396,0.0290856392024324,5418.26243802322,134
0.147,3.07774446984277,0.151660713321537,671.414520044548,135
0.4535,4.69038365760513,0.0152412081773621,11083.178352321,136
0.2325,4.64083514252711,0.101194098682961,1625.42789020085,137
0.4,2.75714072640657,0.0113247751660592,8518.60239792897,138
0.3155,2.60492169530365,0.00832280323173602,10258.8626352711,139
0.243,3.96118951151412,0.0338520295353153,4292.60662747923,140
0.3915,3.06827559476198,0.00754152108512465,13321.2688792773,141
0.221,2.34451820950727,0.0697413738801366,1193.7070527676,142
0.4765,8.52625209013564,0.0304467892188543,10416.6486220418,143
0.231,3.54826514904788,0.0665346638723261,1924.73986488544,144
0.485,11.3466604049774,0.0557648952185752,7695.48615960585,145
0.32,3.38720598141161,0.100550822373342,1090.67208369733,146
0.401,5.50003738127415,0.0534810028386628,3761.03207590447,147
0.3845,5.3690661382935,0.0346139019392946,5797.8766735749,148
0.4075,7.29804583893762,0.045344000677495,6133.93244459335,149
0.437,6.42798110501808,0.00997029620536908,22974.9211889175,150
0.449,9.1363664307331,0.0507882076886774,6819.55993328797,151
0.458,9.12982406609784,0.0284931903898427,12121.1673744808,152
0.4235,4.31100662359506,0.0157983202572732,9987.04284588263,153
0.2275,5.32883018036299,0.0522603715334516,3664.70819482298,154
0.215,4.13777375080265,0.0747449627927564,1976.15996793565,155
0.413,5.24479870103696,0.0445548537960295,4434.91408654589,156
0.4405,6.44339732046831,0.0454422466092058,5420.77938645657,157
0.4,4.47068684783301,0.0169204338239799,9649.9909347155,158
0.3755,6.07111048894577,0.0481691565788734,4662.66233672704,159
0.3085,4.65802683452312,0.0264115117030234,6536.8066809023,160
0.382,2.9499936229752,0.0110943543027325,9184.92858798859,161
0.1835,4.24041333917151,0.0335842686964884,4556.23072416239,162
0.389,4.1582843391497,0.010307525931038,14079.7097770359,163
0.2825,2.38282384002177,0.0185156127179049,4505.21453328244,164
0.272,5.61968333123373,0.0630398255908306,3295.08565866852,165
0.406,4.62223796703911,0.0458719278269287,3807.89343236419,166
0.321,2.00901707280615,0.0443415456803351,1640.73255458215,167
0.34,3.26966842442188,0.0207725208678917,5688.98796138558,168
0.4575,8.69073390126833,0.0526658488112215,6298.42137864672,169
0.404,5.49875194797873,0.0643087242322562,3077.37460384708,170
0.305,3.97371647413785,0.0736536514962601,1912.94583336887,171
0.337,6.15023827462293,0.0240163813171557,9529.11688242129,172
0.2315,4.01795171729988,0.0548807401601481,2663.28175023729,173
0.4555,7.02557455488304,0.0146159482865369,17613.2340614791,174
0.3375,3.87255036114688,0.00998947895207746,13186.0266299916,175
