"instance","prevalence","meanMOIvar","meanPTS","inverseSimpsonIndex"
1,0.1405,2.61862466378746,0.0210337744858014,4116.97095591859
2,0.2735,5.4270826486251,0.00759697809518739,22845.8225446672
3,0.227,3.32312175255859,0.0130830526825338,8406.16804278177
4,0.13,7.52743831965294,0.087684935823322,2649.52910162998
5,0.3,3.03403843352414,0.0123551434452353,8395.38770581529
6,0.421,4.78528736403389,0.00591296051741931,26657.2026456353
7,0.3765,5.8541133497387,0.0279067848488151,7756.30772290519
8,0.2265,2.77339852673467,0.012172933126709,7427.01149831798
9,0.2185,4.73392131424649,0.00945464892813928,15931.0996598327
10,0.258,2.92209050152954,0.00693381801488013,12822.8967941182
11,0.2935,2.82147594796309,0.00765168196241278,11747.2332630114
12,0.2425,3.25483633751898,0.0864948178680328,1376.36323551815
13,0.22,3.46285680430557,0.0329582921690696,3777.78762482969
14,0.133,2.98447464583557,0.0154598112044103,6127.73307364961
15,0.243,2.52445896112824,0.0245543577485313,3692.25918442923
16,0.105,2.24982456064998,0.0311131303389207,2404.33287443424
17,0.114,3.00431675073685,0.0364217869195058,2788.91907351522
18,0.359,3.64940702356014,0.0128393135762389,10141.5446084735
19,0.3125,4.23640210846368,0.0151327898987699,9992.05170878527
20,0.2345,1.58291529929698,0.0172342775966898,3127.93009049023
21,0.329,3.80050782145345,0.00725658258121341,17128.8704111006
22,0.1235,3.18397776557969,0.0422652503674455,2635.29689995706
23,0.1575,4.07147459958592,0.0100061307266031,12057.8510380373
24,0.291,4.5158952149389,0.0135050408598574,11706.5038294943
25,0.315,4.47887952476623,0.00854888642228873,17448.2150850487
26,0.2535,3.3784615482046,0.0163333125108171,7131.39862179261
27,0.155,3.70986991822975,0.0168884530725076,7128.64828066515
28,0.2165,2.59283660757059,0.0101730182016602,8175.89175582373
29,0.1685,2.62417507022556,0.0221283960977907,4019.19257317506
30,0.1945,2.2899354078681,0.0397735113280665,2065.87083763249
31,0.249,2.10437723709733,0.0204232955044315,3659.28917665535
32,0.2705,6.63504563891405,0.0266427695876629,9195.05259078977
33,0.1985,3.1706258656743,0.0630751087486432,1862.84194903632
34,0.3235,3.57909408973012,0.00511077353314422,21040.3962859894
35,0.2455,2.37542782773962,0.0135411090606614,5916.27610430387
36,0.252,3.32905821928829,0.0170695876566249,6742.18802958192
37,0.1455,3.91107690345737,0.0136286345823144,8994.25980857776
38,0.1235,4.06412462542701,0.0468326176224162,3042.24562412972
39,0.2185,4.01410161259854,0.0056136318099562,19916.3323717438
40,0.1965,3.2378069652224,0.0326467311482149,3542.51969400484
41,0.25,3.35857731749116,0.00635690264122808,15721.5946716177
42,0.192,3.28011335220644,0.0964570228598787,1239.74143932939
43,0.2155,3.87617320644547,0.0118074356571178,10837.7350592295
44,0.2225,3.9965505402389,0.00960856432186764,13228.0320603308
45,0.143,4.39043550354225,0.101109544459083,1456.85041727749
46,0.301,2.1145455299799,0.00799614328431746,8492.25058727337
47,0.2675,2.95429533260502,0.0119071991498835,8317.37726042231
48,0.188,2.82268490783408,0.0121775679555632,7378.45569943229
49,0.286,2.73313383521668,0.00817922820887393,10792.7494812025
50,0.3805,4.17857469217854,0.00901583369454074,15900.6374461825
51,0.319,4.34509154961054,0.00606883956577972,22540.4581109225
52,0.3585,2.74017529115008,0.00557634608635937,15144.1416175006
53,0.298,2.49773674001975,0.00630847399481149,11993.7039822901
54,0.106,2.84702412984079,0.043502308152343,2327.19708404207
55,0.151,3.00649827788722,0.0513433803699554,2093.22053031478
56,0.2985,3.31881185730902,0.0111409565617001,10128.4193993291
57,0.3295,5.77768997414983,0.0113023134725923,18012.5139125027
58,0.3715,3.80033395856016,0.034217835956958,3940.54132583431
59,0.16,2.80671842351596,0.0102594198823406,8163.26722935647
60,0.328,3.29537223528448,0.0068035999948251,15415.8156701405
61,0.346,2.55247714418477,0.0117599089197373,7474.08221257854
62,0.3715,5.3031047718617,0.00861900162999844,21076.1857576486
63,0.348,3.41963670493904,0.00861555282116145,13323.2828680439
64,0.337,2.7380723020462,0.00815792214989018,10986.7977057937
65,0.28,3.42780991046074,0.00643163914803431,16294.7458709008
66,0.3205,2.10086117138725,0.00530337983790523,11806.7769097975
67,0.465,7.66788373112734,0.0267142601532953,10392.9198657299
68,0.3365,4.95916720969637,0.0589653828499787,3140.34205606989
69,0.1805,6.8130909360978,0.010648090349744,20074.239489733
70,0.2555,3.9656129836205,0.00824575685230425,15276.6192330323
71,0.31,3.06911116757355,0.0143337937218301,7548.05115123717
72,0.2715,4.59004301395452,0.0342555867068728,4634.52705522304
73,0.4555,4.82669081813729,0.0195950162139561,8995.58089720612
74,0.3115,3.90603324085869,0.00569510445450806,21047.9313457835
75,0.301,2.77368201599669,0.01189425186731,7937.98628131802
76,0.0965,2.4911608660847,0.0806118534488141,1083.67502178547
77,0.1805,4.99509603422777,0.0227808958919257,7276.93880619751
78,0.4235,5.4792748327477,0.00748986139479045,25102.3699845319
79,0.245,3.51253082461466,0.0133349327012813,8896.79693920006
80,0.221,2.36322635825268,0.0143290367311439,5450.49214343501
81,0.293,2.94846211279715,0.0145867213659053,7169.12929425212
82,0.3335,4.12268452367732,0.0100646846349446,14067.4165180923
83,0.2055,2.72286334344338,0.0428605758969436,2300.89027672995
84,0.2415,3.58759753755275,0.00744745949368542,14840.3990933767
85,0.2565,3.01029398328949,0.0379449429068572,2884.51222857564
86,0.343,3.69193839124792,0.00523432127939076,21674.30704774
87,0.3305,2.08384921047424,0.017077844401787,4294.12270221597
88,0.428,4.66520310585167,0.0166636978223477,10078.4896449838
89,0.244,2.82274423783702,0.0130585559915905,7297.27237729375
90,0.126,4.56399273551101,0.0138799519630415,9940.52845812651
91,0.3755,2.72650215104347,0.00900055749282356,10346.4853668011
92,0.1705,2.54571423400033,0.019530667577514,4436.3725802646
93,0.2845,3.67531833314819,0.00521045993146188,20705.2362909199
94,0.4425,4.91477634005832,0.00923392337421003,18773.2062029474
95,0.207,3.20885205629464,0.021408504172558,5187.08926391908
96,0.1415,1.33477482341073,0.0196757198097952,2238.79545104166
97,0.203,1.46749853551145,0.0229638215801677,2236.56881599929
98,0.196,5.12593820459571,0.0182133518960391,9647.92129797438
99,0.4165,4.21752041187115,0.0198814150471304,7664.79855124796
100,0.104,2.57094223585633,0.113567519471415,803.116656928715
101,0.309,4.53354651336419,0.0160722458366449,10217.4516322783
102,0.143,5.34193143431239,0.150982369821567,1030.54586463535
103,0.245,2.01978169765759,0.011138947127465,5888.10471086037
104,0.285,2.49120660270242,0.017345763471325,5118.93316990567
105,0.37,2.84283584190151,0.00874131805533966,10861.4357960474
106,0.2305,3.36420483620502,0.00855725603760717,12293.6039894609
107,0.425,5.53017730786995,0.0127079361213773,15846.1713848922
108,0.2615,2.46502212507675,0.0273301868793751,3210.4011121808
109,0.1235,6.31339957710316,0.0925165438071446,2340.87229252276
110,0.2825,3.41296525031283,0.00680312346971923,15773.1536693123
111,0.151,2.80481473697724,0.0181445034764392,5026.66381607673
112,0.152,5.52953120981151,0.0763824934273527,2448.27825883702
113,0.134,3.54065629132403,0.0237882865769255,4815.48718082981
114,0.158,5.3158824302295,0.0101533230713984,15671.8157958991
115,0.1285,4.0764457768713,0.0524676461132775,2754.83636879495
116,0.35,3.54344431069386,0.00632705626293337,17856.5534950071
117,0.131,4.99817121937434,0.0257759927767543,6651.49947675792
118,0.2785,2.53467648264725,0.00598790422273792,12667.5039431092
119,0.2605,2.93567637197217,0.00977135928598129,9914.51172160626
120,0.3015,2.63802483615416,0.00843173780650829,9937.86723327042
121,0.251,2.93794479142212,0.0110702933601847,8686.69556652697
122,0.448,5.87684981553543,0.00808453578682414,25396.199311154
123,0.1685,2.97257360118386,0.0227335202253458,4391.48281994379
124,0.327,4.86219810898386,0.00787932839301823,20408.1543177343
125,0.3755,2.60683868116298,0.00740923447547789,11599.1633068098
126,0.2055,3.21919291162836,0.0123710333106819,8521.82262021379
127,0.143,4.52064727491097,0.0126143020180686,11176.5458920383
128,0.21,2.11951897433797,0.0532793622675919,1462.35740377262
129,0.1145,1.913834191677,0.0821841595931719,808.5688452108
130,0.4385,5.62308458963835,0.0242455957509913,8681.76792042435
131,0.1785,3.66143249804748,0.0168446172131069,7188.46731336507
132,0.113,2.85661684343638,0.0231536905565516,3964.87127989775
133,0.1175,2.93715231702967,0.0391038753389244,2600.18492662971
134,0.219,3.46857119617709,0.0145534555374808,8123.53834753903
135,0.1145,2.67005065501926,0.0771845320703859,1155.45548218057
136,0.3975,2.92119452583978,0.0097587114662728,10404.1464844422
137,0.1235,5.0922374855175,0.0881585545164821,2103.13372519561
138,0.2935,1.8343904451604,0.00746076058124148,7712.57351919176
139,0.309,2.18909946926334,0.00640067919529952,10435.3410941016
140,0.2775,3.11571282923077,0.0113333145982632,9215.34216459157
141,0.3295,2.28679277058233,0.00552158528573892,12513.2949983358
142,0.215,2.17894517310722,0.0523044406378749,1489.03039017941
143,0.4285,4.56809076218812,0.0151657974053091,10913.7926554728
144,0.168,3.74535468254696,0.0412974438872806,3218.66471183577
145,0.253,4.18349279205962,0.0103727633457683,13397.8489634545
146,0.1685,2.51071092961768,0.0583073789464604,1568.2705001158
147,0.2675,4.52356434096041,0.0443679611888189,3786.4435265813
148,0.2035,4.04531785573163,0.0111371898403929,11655.0512543307
149,0.38,5.84114926129782,0.0112744486458597,18320.8892864447
150,0.3115,2.75393597058274,0.00415145148535176,18592.9364624219
151,0.3245,4.73483729439279,0.0129110897891367,12881.8255019373
152,0.2275,4.84407003158712,0.00788135271767211,19007.0689386789
153,0.4095,2.79487645998252,0.0106133118354621,9148.54762662838
154,0.1475,4.71034235138347,0.0318801062691818,5063.44030479843
155,0.1355,4.4556823262769,0.0565680829890557,2889.89458763391
156,0.232,3.56136470518686,0.0131825016958738,9134.43417725047
157,0.166,4.91904650393215,0.0112803422290587,13419.1602987677
158,0.3845,3.54055706015975,0.0127463150790304,9971.94496169961
159,0.3205,4.29611106263257,0.0164425532679176,9354.18844537888
160,0.3505,3.66941437603142,0.00718008310896166,16552.5964160509
161,0.3115,2.41015766947147,0.00905909758208546,8726.4362377037
162,0.125,3.77952246427672,0.0204885566931152,6095.15339059254
163,0.2755,2.67117194596779,0.00523515061705287,15038.5008222801
164,0.2275,2.11870142670913,0.0157141075187969,4609.93739803433
165,0.1915,6.21206313892085,0.0521167946151905,4358.5517956251
166,0.2195,3.27262891964466,0.0110285619950401,9639.64303363557
167,0.244,1.60732982915366,0.0174706092497844,3180.66300865342
168,0.3085,2.59089106874534,0.0152830205412838,5871.56078872695
169,0.2845,5.02546738074395,0.0165289294487541,10713.768357501
170,0.206,4.25049303963235,0.0230129145054407,6282.60243584816
171,0.27,2.46832052280918,0.0166868983107273,5195.95742949454
172,0.454,6.27838342046087,0.010506807297271,21465.5219695432
173,0.1775,3.45009371371866,0.011748049410114,9335.53745348181
174,0.428,3.75378515944019,0.00742613694655637,17061.8453299153
175,0.335,2.89947450053822,0.00618187030411956,14764.9172253313
176,0.337,2.29475652661844,0.00646312013009174,11091.5387673956
177,0.4155,5.78429830227905,0.00952876964587424,21271.187961422
178,0.282,3.40232519136074,0.00808135246855359,13524.5061724866
179,0.403,2.94967815685254,0.00811229309132972,12396.6807005576
180,0.194,2.42921205497151,0.041378316360168,2109.5387324749
181,0.4005,6.45269809635434,0.0310351403092582,7309.02125773564
182,0.1315,4.57154665811788,0.011687883310519,11637.762370839
183,0.3465,3.19220636297507,0.0102850585281492,10680.5988986576
184,0.2065,5.88750493694532,0.0151246296758689,13194.3412704196
185,0.148,3.24519110535833,0.0244807593647749,4499.10989976418
186,0.174,2.1122838483861,0.0566001309257823,1371.54300492646
187,0.2145,1.64605421322068,0.0182975749334264,2970.9254960647
188,0.253,4.35107725224522,0.00623591102472942,20997.1988461682
189,0.152,6.19441094727465,0.0233953956728274,9195.50025772157
190,0.1425,4.75777904070581,0.0129764495486287,11300.3337568397
191,0.288,2.48612019937681,0.00714161336800798,11019.2237073878
192,0.3095,2.37249537036242,0.0490965534281901,1779.59114379916
193,0.3815,2.97595894818997,0.00524396339585752,17772.2562723169
194,0.3105,3.29483817863363,0.00935441221671758,11750.4715312165
195,0.181,5.29840352070512,0.019888312129707,9294.52599479402
196,0.174,1.40274345219897,0.0082531815428186,4879.86344867617
197,0.4475,4.54008156973531,0.00894135379646843,17955.806917998
198,0.1905,3.82155435396538,0.0084132802543799,13715.2038143843
199,0.411,3.6456970208923,0.00648866435349643,18435.3205143429
200,0.3885,4.46598997566822,0.0126231426029228,12615.4693178015
201,0.2925,2.76259386456635,0.00907604105525428,9981.73936856314
202,0.202,2.92999109276351,0.00891187605480828,9796.08684116802
203,0.276,3.70887459273598,0.0129401951724221,9889.31934842339
204,0.1265,3.71540828842377,0.017534076544047,6645.23075582869
205,0.2085,1.74718503161101,0.00895298219162577,5935.58730460269
206,0.319,2.85681711939599,0.0140454551144359,7119.7359925146
207,0.178,4.16812106515606,0.00738291405368309,16010.1582497993
208,0.4095,4.148015432084,0.0726589712718548,2102.0942836418
209,0.242,3.81866242618746,0.0124338706052859,10413.3004074449
210,0.1795,3.40481912699184,0.0190466951834131,6055.28492866688
211,0.18,3.32085992587265,0.0173244779160512,6292.71866342672
212,0.1525,3.73004752139997,0.0297202268122995,4259.43389387946
213,0.2605,3.83113714718241,0.00506078656241381,21448.2380302588
214,0.272,5.28889805825092,0.010335273557277,16944.3608241891
215,0.145,3.54434111468205,0.0121411396132268,8921.74055055789
216,0.2005,3.56116019004652,0.0214827084363137,5786.92515229227
217,0.193,6.06265842133178,0.00875621970001371,21206.5116240789
218,0.34,3.88442275550006,0.011968268466333,11317.9071303452
219,0.4,3.0462481023492,0.0141646355734433,7580.50332198638
220,0.462,3.83093497308606,0.00883289713851857,15182.8873038083
221,0.1805,5.74943126470602,0.0123915199737077,14923.1925784787
222,0.1555,3.40262554815616,0.0306754545107052,3893.81840629792
223,0.1225,5.392144063711,0.0270378243230684,6716.11864137324
224,0.2075,5.4762758846177,0.00912933228164663,18742.9963965323
225,0.128,4.7484775367568,0.064700419588535,2642.08202181666
226,0.2345,3.31332616937197,0.0388181906437538,3143.82237314031
227,0.1215,2.9200547710065,0.0319734156029974,3081.18597708369
228,0.283,2.42587935072465,0.0203606256402428,4204.41594471555
229,0.1565,2.22187439584683,0.0166081071063588,4361.76177029067
230,0.219,2.13859584296603,0.030560126285675,2503.06636816922
231,0.14,6.08669563828448,0.00890557317416932,19251.2632442741
232,0.2805,2.85634140469834,0.019625782745552,5164.60789638726
233,0.2665,4.91792329098066,0.00795109839386291,19674.7871051209
234,0.278,2.05802142312612,0.00508055402046808,11462.0459370215
235,0.2935,4.47321437944368,0.0193308284840386,8290.65984333598
236,0.263,4.4679565436762,0.0121959786045752,12401.0298077266
237,0.282,2.81109042096698,0.015567470450037,6386.33798273081
238,0.345,3.63744932365859,0.0125799740632181,10025.0774170578
239,0.157,2.01895937684851,0.0132593378560668,4675.86758702993
240,0.098,2.61330670352405,0.109526715094124,793.226656626506
241,0.284,4.05788151068523,0.00649587172987509,19325.6173174697
242,0.3185,5.28019860237374,0.0256089581306555,7574.56843978696
243,0.2975,2.46151958521223,0.0047769494706773,14774.400333491
244,0.3115,3.40028638268217,0.00829038076134713,13450.2308248479
245,0.247,3.96398376879788,0.00831170714106252,15204.986322317
246,0.2645,2.78484029929022,0.00842125922834989,10578.949005064
247,0.3285,2.25666396998122,0.0083440942097586,8917.55050721777
248,0.1575,3.42200612665905,0.0125200912055112,8649.39106484823
249,0.142,2.76311893002487,0.084064395495429,1099.46889612422
250,0.3965,4.62152739468573,0.049646827048315,3576.65984086827
251,0.2605,3.4005053300627,0.0100701935587456,11089.7757493679
252,0.229,3.86402157869049,0.0125444487672326,10406.0513639914
253,0.2515,5.91869614569072,0.0255782858909575,8552.84178295553
254,0.2865,3.14507489015001,0.0391928941860821,2767.57760060072
255,0.1175,3.21834414190264,0.0325115167542055,3412.79281711833
256,0.134,4.80724815390085,0.0158211388811872,9721.3859095722
257,0.1945,3.97774802242285,0.00992156830783842,12636.7006394187
258,0.1985,3.6740038957327,0.0133756965802301,9016.41427232668
259,0.1615,2.2510441055153,0.0361254123007193,2208.64509857018
260,0.2045,2.00610122621144,0.0238538711808965,2905.91368918068
261,0.1775,3.30353748503361,0.0101540408814716,9930.81423482092
262,0.1855,1.66498073878736,0.0128010430376676,4034.34572633193
263,0.177,4.76591210741582,0.0294911046590674,5418.44067106099
264,0.3015,2.08743011375423,0.0082444469061997,8068.21735913368
265,0.2915,2.07074890728105,0.00592085089313834,10315.0434320754
266,0.302,3.82948795200734,0.013106776479364,9992.05318721094
